title,description,url,published_date,source
"Ted Cruz, under pressure to endorse Trump, says he’s watching Iowa - The Texas Tribune","Ted Cruz, under pressure to endorse Trump, says he’s watching Iowa  The Texas Tribune",https://news.google.com/rss/articles/CBMigAFBVV95cUxPM2Q5V2toeWZjWHF3WDVvYXNmbmF6cXY5T0dTdDd0em5Qa1NhV1FWRlBZNGtUSXJlamhJdmVBRjY5VUhrNldQTy1qZzJGM3lVUks2RWtaOEl4UFcyOXhvZWIzVmMxRnhFbVZNZlZPWGp6ejRIZzcwcnZ2OTB5dWhuTA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 10 Jan 2024 08:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Jury orders Trump to pay $83 million for defaming columnist E. Jean Carroll - NPR,Jury orders Trump to pay $83 million for defaming columnist E. Jean Carroll  NPR,https://news.google.com/rss/articles/CBMickFVX3lxTE0zUGNrWFNUT3pOV0hUZ3FhU0tlaGdodjRHMlJoaGZUbUxEMUdjc3JnZlA4SC1tYWcyTzF5WENRMnNPaFNlZ3pkRk5udjBZc0d0Qk94RU9rOFFwM3dsejF4Q1pEaHI2bzBuU0pJSGlGeHZqUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 26 Jan 2024 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Maine's secretary of state tells NPR why she disqualified Trump from the ballot - NPR,Maine's secretary of state tells NPR why she disqualified Trump from the ballot  NPR,https://news.google.com/rss/articles/CBMimwFBVV95cUxNOUVOZE0wc1luM0hzcHFaR1JpZkEwRXB4eTgwQ19BOVRCaVdJU0dOVE9SQ1luUGxEakFuMl9vOXU5aVR1MWlNSkdVRVptcVMxeHBCaThiajM5a0hmd1dVdUY3RlE3OUljcmdUSkZLeDJSSjZ5OEI2WTA3ZUw4Y2UwY3hxQ1AtUDUwM0RaaEthUGl0TFU5R0xvdnlROA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 02 Jan 2024 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump hearing: Judges sound sceptical of Trump's immunity defence - BBC,Trump hearing: Judges sound sceptical of Trump's immunity defence  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1KakZJUGU2NGNManFoLXdNd3lqUGh4ekpYcDJ6ekxHMFBibHVjaTVwWjBlcXI5ZVBWaHM1VmhVWTRjS3Zfb0FiNEhLUWNUQWN2R1FYa21QWmE1TlVZVnfSAWNBVV95cUxNaFkyTXJmcERGanp3NmJHVndueU5kX2dMZ0RsQ212U0hjUGlsN3J0VE4ybFBLT1dpMkFDUjd2ZFNmZWJjTDNfUi05czJuY0JtbnAteFFfUFlJc2JnZ2pIOEJyVkE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 09 Jan 2024 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Ted Cruz endorses Donald Trump for president - The Texas Tribune,Ted Cruz endorses Donald Trump for president  The Texas Tribune,https://news.google.com/rss/articles/CBMif0FVX3lxTE1lRXFFT19yVnhqU2lxRjZYcmlaOW9UTHp1VXNWY0pxMFctM3VGcjVKdm8xQ1lDSW01eTlXTXFXSTJ0N1REUnNZeVNiUk1obGxuT3c4aUI4VWRfVVJwbWhoZmhTTTF1ekdEUXFlS3hGS2pnMDh1WjdjYUxac3B1UDA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 16 Jan 2024 08:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Overcoming the Trump Obsession - Institut Montaigne,Overcoming the Trump Obsession  Institut Montaigne,https://news.google.com/rss/articles/CBMigAFBVV95cUxOMl9mNGRUNktWQmpoYlVySlN4TlZ6NGI5clRqdXdzUFlZN2VjeVUzOHpZRTZqN1FPZ0FpTlg0MVRaRjRvcjhwcGotaUkwdjZBNlNWR1JnYjNQWVVJT21ZNnRhLVFyUkRVUWJZOExabjJncDZMaW5oNFRGTXp3c1dnVQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 16 Jan 2024 08:00:00 GMT","{'href': 'https://www.institutmontaigne.org', 'title': 'Institut Montaigne'}"
Trump rants that New York civil trial is a fraud after judge allows him to speak during closing arguments - NBC News,Trump rants that New York civil trial is a fraud after judge allows him to speak during closing arguments  NBC News,https://news.google.com/rss/articles/CBMingFBVV95cUxQRU9PcnE4cTdxUlhMX0FPWU1iNFVjZmozTG5tejdEUWozMkRvRGk3dzBxbnpoX2Z3d0hqRlcxT1ZoaGxZSlBpUlQwX1ZoOG9Sd1JaSl8yWkI4TVpPWEQ2ZkJMNFljajBOeGhTOHBTUnM2VHVURmtHNTdTSnhuazMwWDZWRGE4UnRNUFc1bGEtOTBreUhQSTR6dzY4LXdPd9IBVkFVX3lxTE81ZXpaSGlyeDh5eUlmMmpUblFoRnk4RWVTdWZuVm1fQXRYR2hUUmNKcDBTZ3BJYkZQY1laZEFSeGZ1NTNXcXFYcEpUOVkydGZrQ3ViaDBB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 11 Jan 2024 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
New Congressional Report: Trump Businesses Received $7.8 Million from Foreign Governments During His Presidency - American Oversight,New Congressional Report: Trump Businesses Received $7.8 Million from Foreign Governments During His Presidency  American Oversight,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNdTByRE9qekdMcWZ6NkpQYkVEdXJSdlFUOUduWTQ3cDN5aHNEczR3Wnptb293SlFQaXVZN1NhUmZoOTZzQTktRjRkUnJiaVh2RVp0bDA2a1o1ekhDMG40V1lfSFNuTlJvNDJHcEJOcVRzWnJpZVJ6ZEg4TVRwbFR6bi03MUIxN3U3d25VYnZYLTdVNnJuY1ZEbDlOYkJzcEFNS1hCaGVCWDZhcEZ3VzdheHUxM2FSeVZJX1VScFlHdXpLb3p4YWtLb0JXMkhVNWthNkdYMnBLQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 05 Jan 2024 08:00:00 GMT","{'href': 'https://americanoversight.org', 'title': 'American Oversight'}"
"Former President Trump Holds Rally in Sioux Center, Iowa - C-SPAN","Former President Trump Holds Rally in Sioux Center, Iowa  C-SPAN",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPOEJVTF9SQXliYVB6M2w2N2RaZFVrQWpLQWs1SzU1UnVlV21ONUVjQmVwSmNtV1dKRm9pSDNRRkUwb01aaGdOaXRHeW96T3NISmhobjdSUFl3aWV1eFBHVzdCa3pMcGZlVlhweS14ZGNvb2ZqbTVSdEhMUk83QmYyRThjeEN0RV9seFphWGdMN2lNVVQtYldJcEJSU21sZ3dWbUlBZnNnWElXX0E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 05 Jan 2024 08:00:00 GMT","{'href': 'https://www.c-span.org', 'title': 'C-SPAN'}"
Trump’s Detention Surge Failed to Significantly Increase Removals - Cato Institute,Trump’s Detention Surge Failed to Significantly Increase Removals  Cato Institute,https://news.google.com/rss/articles/CBMikAFBVV95cUxOdy1seHE3ejZsd0oxTzVGWXhuQ19FWUIzeDJhNU5PMk5KdWg1WlpFTndzY1VFWUhzTGRwZlRQNXZKdG1qNWE2Qy1hZzk4WmhCMjdpNGlsUXNaaVJMTERhM19YcWZkSWR2RFpLR0IxWkFkb1FXcnlFNDBTZXlEaHN4RjVoNkxIVmFVcFhOUG50bEY?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 10 Jan 2024 08:00:00 GMT","{'href': 'https://www.cato.org', 'title': 'Cato Institute'}"
