Trump points fingers at the Biden administration in East Palestine visit - NBC News,Trump points fingers at the Biden administration in East Palestine visit  NBC News,https://news.google.com/rss/articles/CBMiugFBVV95cUxNaVZGWkprMExpTFotVGdoMk5YSnhIdDdxdk9SMlR2X2xrUmF1TVNiWGJUbjJUdUI3ZG9TUVk2VU9RcEpaS2dOLWRMSzhwQUc3NS16UUg4RmRLa0RrRkpLY0YzVFkxYUJ3OXNJZlJKZWZZSXpqYy1acThEWXlYck52Ynp0ZjB2WGROcWVfVkthZUFBb1ZUSGdtRmlodlZLckRZVkw3Skk2RElvRndnbU9aRTVpenoxbm1CbVHSAVRBVV95cUxNWmd5R1Y0U2pJU2xZdUV2MUIxTlR0ODB2TWk2QWxuMFJ0VnhqM1RBV2ZZdU5HLWczOURoT0lMZ0xERk5kSE5iMnR5YkR3ekw1cWJkeXA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 22 Feb 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"Judge upholds Donald Trump contempt order, sanctions in New York civil probe - Reuters","Judge upholds Donald Trump contempt order, sanctions in New York civil probe  Reuters",https://news.google.com/rss/articles/CBMitAFBVV95cUxQLW9fLUxadGhleXp2cldsUGs4aFJqclFRM2Q0ZHFnZmpuU0tYYXZ4d1ZKOWRPUk1UcVZGR2Q5Q3J0QWNGVGVNeXdNZWpLcDdxQ0JIbU00WmphMFRqOHl3X19tdG00aWVGdExVaFgyVVRtdmhnTVRncGRtMldPUWpWR19hN2pxcU1WUTJPYzF1SHlRMkNSWWpQNXVFYW5WckloOG5oSHdsbXV3S282VjRIR2tFQ3Q?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 14 Feb 2023 08:00:00 GMT","{'href': 'https://www.reuters.com', 'title': 'Reuters'}"
Meta restores Trump’s Facebook and Instagram accounts - CNN,Meta restores Trump’s Facebook and Instagram accounts  CNN,https://news.google.com/rss/articles/CBMihwFBVV95cUxPRnkwVldVQmJLNGxBUTVOTVM1VkFJZW5QRUJPSC1FcDYzejVZRGxFS085R3BWeGk4ZmpyQlpSbkRsbmM0alJJWHBVWjlpREo2SzVRUW12TFBTUzItOG5yLXRGb1dTN3lSeWJPLWNPTGFwVk1lTEpQTEZXWllsMnpDbElkT3oxblnSAX5BVV95cUxPNlk0bTdhSzRQTDJxNFdnbHl3MGltNWVVTjR6X25kVUwyY0REZEFCRjZ5cjc3NWd3Y1Rmdk05djFIN0FDSmZRaXNZd1RySXYyMTQ4Wmpxel9ETnhSTUZvSGN5ak5jNEkwLU42Wmx0U2VVN1hHdVhxRzZQdExFc2c?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 09 Feb 2023 08:00:00 GMT","{'href': 'https://www.cnn.com', 'title': 'CNN'}"
A timeline of Nikki Haley’s past Trump statements - NBC News,A timeline of Nikki Haley’s past Trump statements  NBC News,https://news.google.com/rss/articles/CBMipwFBVV95cUxOWS0xVjlfT0I2Ykk0OTdQVEhSU1B3cHhpcmh2QzhfNWg4WmZHSGRBNWVBNTJlV0poQkl4VksweXNocms1X2p4UGFETDhMS25Yc2lmY3hpYzBQN20yX3dmZ0hUWk1WLWF0bl93X3BKMTFWbEVxdm1WZU0wTXdLdTVMZHdTRTZTS2ZiLWUybTRHbVU3U2xsZzdfc2k1LVRfdE00eWR1R0tuTdIBdEFVX3lxTFBwcjJ5X0IyQmJ0Qm8tVS0wbWtqd2ZISkJPRHNFYU53eHNKZ2o2dFp6ejltTENoTzVJM1g4Sk9rNUpmdHZOaUUzVmVRSDQ2QVI4bzlneGJiWVhDZnJ0SF9COEV4dzdnRDdJRTV1YUQwSGYyd01y?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 15 Feb 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
DeSantis vs Trump Voters: Insights Into GOP Primary Divide - NPR,DeSantis vs Trump Voters: Insights Into GOP Primary Divide  NPR,https://news.google.com/rss/articles/CBMioAFBVV95cUxQYzJPNzZTWU5TenZFTDY1MlVRQ0FXbVZodHNQWGpERTRHUUpCcUNuVmFkaFlvaDFRM056d2xxRU02alRDRjhTdDF3dlZIOE1OYVZ2NVZkNkFZOUtqSDhKUURBQk9CS05jbmFuYmhRbWJmdU5GSExTcnFsNmwwYl9mUktrZml0MGlyeElQTWo2T2VuNDgtWThZQmFWSG9JRHdh?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 23 Feb 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump-era Chinese spy balloons went undetected - BBC,Trump-era Chinese spy balloons went undetected  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9lUmh1RV8wUjF0YjVscE9JRjdfemF2R1FSWDE0UHR1dFBhV05yaEl5RUp1U2Ffc0VwT2YtMnVGcXdzeGo0OS1acXVQYWtNQWw3N2I3Y2gxWm1rMjFTbnfSAWNBVV95cUxPTVpOY3BabUVNbEVUSjV6TUI3c01mSUlIQUlhdW92R1JVdmpGUWdaV1NyeWYtbDJWbkVJcnV6ZnFZcFdITklPX0s1amtsdWp6RDNVOWs5VEhvbThZdVdkOVFNTlk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 07 Feb 2023 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Trump frustrated with conservative group Turning Point USA - NBC News,Trump frustrated with conservative group Turning Point USA  NBC News,https://news.google.com/rss/articles/CBMirwFBVV95cUxPb0hzT29pV2Z0TGxFeEI2V0x0OXpOd3ZfUVFoQVFKdVlQN1ZUUVJMOEpFLTYweUZicTBPZzc2QVdXQjRFM2U0YWFtd2s4T2lteWZZdWdJdGRHcWhJQklGbExpdnRENHM3cGNtdHRHcFplUk1lNk1kRXN3NW52SUY3RTZNUzY2S3BiUUp5dTJ2VWVYbV9wMVVUXzdITl9pOGNvMGswSXV2MDFFQUdBQmtZ0gFUQVVfeXFMUG1DWjJIdTFmMXRXcmQwWVJ4b3RnenduQm5iWUtJSXE3UFdtMTM3QzM3V0x4bXM1ZW1TRjBOTVZrQ0RyYmJwWXo2RWJXNUtCYWNuWjhw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 10 Feb 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
Trump’s grip on the Republican base is slipping — even among his fans - The Washington Post,Trump’s grip on the Republican base is slipping — even among his fans  The Washington Post,https://news.google.com/rss/articles/CBMikwFBVV95cUxNLVdpOEVhSGE5Q2pJMkhwalBsYmR5MWpvZ3JCY2RYR0FMbWhEU1h1V1hzWkV5Y3FUMXVJbUNSdHUtcUYyRkJCTnowTFk4bmVMVFNNSnRkSEFLX3o2djEwOXdFbURkeXJxYXdYbVVrUmIxMmZVZnhVU2ZId2p0MGhPOU1zdEJ5bllnNDdhOGxEaUhVSms?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 23 Feb 2023 08:00:00 GMT","{'href': 'https://www.washingtonpost.com', 'title': 'The Washington Post'}"
The Pence subpoena could set up a showdown over executive privilege - NPR,The Pence subpoena could set up a showdown over executive privilege  NPR,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOOUsxZmxkN1g1RFFqaXRlRG1GS3JYNFF6RkhZbF80NXJhSS1xdWxMNFg0ZnFUR0hnZUJtdVRFMTZtWUhNeTR4NWdxQW9xQnBTOUNYRE1VdlY2VmlBejRjczh5R25oNVBUS19ZQzBLck9jQjdPMGJyWlNMZTdNQ29YeERRN0hKOG9t?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 11 Feb 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump’s False Claim About Defense ‘Deal’ with South Korea - FactCheck.org,Trump’s False Claim About Defense ‘Deal’ with South Korea  FactCheck.org,https://news.google.com/rss/articles/CBMikwFBVV95cUxPVDRvendTRkpZcGhjNFBCNFRFZ3JBdnJ0RUFxeWVzSElkTGJaR3ZPZ19MODBVcTNJQllGaUFWU2FRNlloOS1DZDQzdnJLSlFWcDJSMmhtM3A4WlhhemZDeVB3Y3loTkR3SDdwbzdRdmc2aDVDM2VkNkhsT3laZEczbUxFaXBiLXV1YmhRN3BHYjllR2c?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 24 Feb 2023 08:00:00 GMT","{'href': 'https://www.factcheck.org', 'title': 'FactCheck.org'}"
